id,x,y,datetime,gps.accuracy,var,season
CrAc77,615579.3937,1250748.148,2021-02-16T18:15:00Z,5,5.53E-05,s1
CrAc11,614281.6249,1251354.933,2021-02-16T22:17:00Z,5,5.53E-05,s1
CrAc77,614981.6638,1250942.839,2021-02-17T06:57:00Z,5,5.53E-05,s1
CrAc11,614268.7649,1251368.92,2021-02-17T07:33:00Z,5,5.53E-05,s1
CrAc77,614981.6638,1250942.839,2021-02-17T17:00:00Z,5,5.53E-05,s1
CrAc11,614263.7998,1251394.317,2021-02-17T21:00:00Z,5,5.53E-05,s1
CrAc11,614452.9059,1251141.372,2021-02-18T07:24:00Z,5,5.53E-05,s1
CrAc11,614433.4038,1251221.827,2021-02-18T14:24:00Z,5,5.53E-05,s1
CrAc11,614265.1669,1251331.129,2021-02-19T01:36:00Z,5,5.53E-05,s1
CrAc11,614352.8681,1251214.246,2021-02-19T09:34:00Z,5,0.06412388,s1
CrAc11,614355.6109,1251200.138,2021-02-19T17:02:00Z,5,0.225309726,s1
CrAc11,614953.1508,1250980.337,2021-02-19T21:37:00Z,5,0.232220001,s1
CrAc11,614465.3219,1251183.769,2021-02-20T07:56:00Z,5,0.258475617,s1
CrAc77,614177.2278,1251562.576,2021-02-20T17:15:00Z,5,0.281434598,s1
CrAc11,614289.5002,1251336.238,2021-02-21T08:23:00Z,5,0.304231698,s1
CrAc11,614248.7875,1251347.141,2021-02-21T16:51:00Z,5,0.232220001,s1
CrAc4,617088.5666,1250240.508,2021-02-21T22:01:00Z,5,0.258475617,s1
CrAc11,614432.2931,1251209.342,2021-02-22T10:50:00Z,5,0.281434598,s1
CrAc11,614447.0498,1251203.531,2021-02-22T15:20:00Z,5,0.461976513,s1
CrAc4,617074.8403,1250186.928,2021-02-22T16:41:00Z,5,3.113115902,s1
CrAc4,616969.122,1250212.413,2021-02-22T20:55:00Z,5,3.113115902,s1
CrAc11,614230.4335,1251314.235,2021-02-23T10:43:00Z,5,0.493763224,s1
CrAc11,614341.5122,1251290.596,2021-02-23T16:10:00Z,5,3.038744081,s1
CrAc4,617016.5055,1250246.879,2021-02-23T20:38:00Z,5,0.294942478,s1
CrAc4,617033.9303,1250230.564,2021-02-23T21:00:00Z,5,3.033069526,s1
CrAc11,614316.8654,1251265.017,2021-02-24T10:08:00Z,5,0.070157416,s1
CrAc11,614331.0793,1251315.453,2021-02-24T15:45:00Z,5,3.017415204,s1
CrAc11,614436.7063,1251198.639,2021-02-24T20:37:00Z,5,0.071698652,s1
CrAc11,614349.6982,1251219.917,2021-02-25T09:29:00Z,5,1.191653901,s1
CrAc4,617039.5718,1250175.472,2021-02-25T13:44:00Z,5,0.079291148,s1
CrAc11,614461.2775,1251191.455,2021-02-25T16:04:00Z,5,0.008867271,s1
CrAc77,614195.0234,1251469.743,2021-02-25T18:00:00Z,5,0.081358895,s1
CrAc11,614510.3331,1251197.714,2021-02-26T16:35:00Z,5,0.007608415,s1
CrAc11,614436.3972,1251206.134,2021-02-26T21:19:00Z,5,0.089958639,s1
CrAc4,616991.1133,1250182.812,2021-02-27T08:28:00Z,5,0.090839025,s1
CrAc11,614502.5448,1251193.014,2021-02-27T09:54:00Z,5,0.006664272,s1
CrAc11,614513.6193,1251194.408,2021-02-27T14:51:00Z,5,0.564805483,s1
CrAc4,616945.1175,1250203.768,2021-02-28T08:22:00Z,5,0.00592994,s1
