week,date,average_weekly_precipitation,weekly_humidity,average_weekly_solar_radiation,average_weekly_temperature,average_weekly_mintemperature,average_weekly_maxtemperature,name,id,family,sex,movementss,tourists
3,2/16/2021 0:00,0,81.73958333,5844.5875,25.73541667,22.5,30.1375,Joselito,CrAc11,Crocodylidae,Macho,136.62,4462
4,2/24/2021 0:00,3,84.19166667,3918.3,25.975,23.76,29.72,Joselito,CrAc11,Crocodylidae,Macho,60.85,2213
1,3/1/2021 0:00,13.5,87.41666667,5569.857143,24.5297619,21.04285714,28.98571429,Joselito,CrAc11,Crocodylidae,Macho,70.5,3142
2,3/8/2021 0:00,0.4,86.265625,5129.2125,25.54114583,22.75,29.2625,Joselito,CrAc11,Crocodylidae,Macho,101.9,3768
3,3/16/2021 0:00,12.3,89.12037037,4399.455556,25.44537037,23.12222222,28.85555556,Joselito,CrAc11,Crocodylidae,Macho,7.6,5613
4,3/25/2021 0:00,2.6,84.70238095,4044.1,26.25178571,23.85714286,29.65714286,Joselito,CrAc11,Crocodylidae,Macho,89.5,578
1,4/1/2021 0:00,1.4,92.19047619,2985.457143,25.30297619,23.75714286,28.21428571,Joselito,CrAc11,Crocodylidae,Macho,79.4,3020
2,4/8/2021 0:00,4.7,94.57738095,3393.4125,25.90833333,23.575,29.2,Joselito,CrAc11,Crocodylidae,Macho,101.1,1487
1,5/1/2021 0:00,3.1,91.61979167,5296.45,26.4734375,24.0125,29.9875,Joselito,CrAc11,Crocodylidae,Macho,320.2584501,1288
2,5/9/2021 0:00,3.4,92.45833333,4343.857143,26.65238095,24.48571429,29.84285714,Joselito,CrAc11,Crocodylidae,Macho,74.8,1745
3,5/16/2021 0:00,0.3,91.95238095,4682.028571,27.04583333,24.52857143,30.51428571,Joselito,CrAc11,Crocodylidae,Macho,18.08,2461
2,5/9/2021 0:00,3.4,92.45833333,4343.857143,26.65238095,24.48571429,29.84285714,Rosa,CaCr11,Alligatoridae,Hembra,10.3,1745
3,5/16/2021 0:00,0.3,91.95238095,4682.028571,27.04583333,24.52857143,30.51428571,Rosa,CaCr11,Alligatoridae,Hembra,21.87,2461
4,5/23/2021 0:00,11.9,92.5,4688.466667,26.9037037,24.66666667,30.18888889,Rosa,CaCr11,Alligatoridae,Hembra,17.51,3018
1,6/1/2021 0:00,3.6,92.29761905,3625.671429,26.73869048,24.32857143,30.52857143,Rosa,CaCr11,Alligatoridae,Hembra,35.70851916,0
1,6/1/2021 0:01,3.6,92.29761905,3625.671429,26.73869048,24.32857143,30.52857143,Joselito,CrAc11,Crocodylidae,Macho,35.16447047,0
2,6/8/2021 0:00,6.4,93.984375,4844.9375,26.6359375,23.8125,30.45,Rosa,CaCr11,Alligatoridae,Hembra,34.3,0
2,6/8/2021 0:01,6.4,93.984375,4844.9375,26.6359375,23.8125,30.45,Joselito,CrAc11,Crocodylidae,Macho,21.84,0
3,6/16/2021 0:00,1.3,89.671875,5267.2375,27.6515625,24.625,31.4625,Hugo,CaCr10,Alligatoridae,Macho,204.4,4668
3,6/16/2021 0:01,1.3,89.671875,5267.2375,27.6515625,24.625,31.4625,Rosa,CaCr11,Alligatoridae,Hembra,41.71,4668
3,6/16/2021 0:02,1.3,89.671875,5267.2375,27.6515625,24.625,31.4625,Joselito,CrAc11,Crocodylidae,Macho,25.18,4668
4,6/24/2021 0:00,3.4,92.07142857,5084.7,26.79821429,24.08571429,31.17142857,Hugo,CaCr10,Alligatoridae,Macho,33.6,4241
4,6/24/2021 0:01,3.4,92.07142857,5084.7,26.79821429,24.08571429,31.17142857,Rosa,CaCr11,Alligatoridae,Hembra,35.86,4241
4,6/24/2021 0:02,3.4,92.07142857,5084.7,26.79821429,24.08571429,31.17142857,Joselito,CrAc11,Crocodylidae,Macho,202.98,4241
1,7/1/2021 0:00,0.5,89.54166667,5475.5,27.30833333,24.11428571,31.65714286,Hugo,CaCr10,Alligatoridae,Macho,58.7,5978
1,7/1/2021 0:01,0.5,89.54166667,5475.5,27.30833333,24.11428571,31.65714286,Rosa,CaCr11,Alligatoridae,Hembra,35.96,5978
1,7/1/2021 0:02,0.5,89.54166667,5475.5,27.30833333,24.11428571,31.65714286,Joselito,CrAc11,Crocodylidae,Macho,132.76,5978
2,7/8/2021 0:00,14.7,89.11979167,4133.5875,27.253125,24.9125,31.175,Hugo,CaCr10,Alligatoridae,Macho,75.4,5074
2,7/8/2021 0:01,14.7,89.11979167,4133.5875,27.253125,24.9125,31.175,Rosa,CaCr11,Alligatoridae,Hembra,19.97,5074
2,7/8/2021 0:02,14.7,89.11979167,4133.5875,27.253125,24.9125,31.175,Joselito,CrAc11,Crocodylidae,Macho,212.73,5074
3,7/16/2021 0:00,1,86.015625,5246.575,27.64427083,24.725,31.45,Hugo,CaCr10,Alligatoridae,Macho,95.3,6342
3,7/16/2021 0:01,1,86.015625,5246.575,27.64427083,24.725,31.45,Rosa,CaCr11,Alligatoridae,Hembra,25.2,6342
3,7/16/2021 0:02,1,86.015625,5246.575,27.64427083,24.725,31.45,Joselito,CrAc11,Crocodylidae,Macho,110,6342
4,7/24/2021 0:00,160.3,94.32291667,4384.25,26.43020833,23.7125,30.1875,Hugo,CaCr10,Alligatoridae,Macho,248.1,4763
4,7/24/2021 0:01,160.3,94.32291667,4384.25,26.43020833,23.7125,30.1875,Rosa,CaCr11,Alligatoridae,Hembra,49.05,4763
4,7/24/2021 0:02,160.3,94.32291667,4384.25,26.43020833,23.7125,30.1875,Joselito,CrAc11,Crocodylidae,Macho,331.97,4763
1,8/1/2021 0:00,10.7,94.57738095,4661.171429,26.68690476,24.07142857,30.57142857,Lulo,CaCr7,Alligatoridae,Macho,127.7,4538
1,8/1/2021 0:01,10.7,94.57738095,4661.171429,26.68690476,24.07142857,30.57142857,Rosa,CaCr11,Alligatoridae,Hembra,37,4538
2,8/8/2021 0:01,1.7,92.70833333,5440.4125,26.70677083,23.5125,30.6125,Lulo,CaCr7,Alligatoridae,Macho,31.9,6711
2,8/8/2021 0:00,1.7,92.70833333,5440.4125,26.70677083,23.5125,30.6125,Rosa,CaCr11,Alligatoridae,Hembra,35.47,6711
3,8/16/2021 0:00,333.4,95.09375,5189.4,26.21666667,23.0125,31.3375,Lulo,CaCr7,Alligatoridae,Macho,217.9,5617
3,8/16/2021 0:01,333.4,95.09375,5189.4,26.21666667,23.0125,31.3375,Rosa,CaCr11,Alligatoridae,Hembra,31.6,5617
4,8/24/2021 0:00,234.3,97.21354167,3521.5625,25.89479167,23.4125,29.875,Lulo,CaCr7,Alligatoridae,Macho,46.1,4135
4,8/24/2021 0:01,234.3,97.21354167,3521.5625,25.89479167,23.4125,29.875,Helena,CaCr18,Alligatoridae,Hembra,35.44167582,4135
1,9/1/2021 0:00,79.1,96.66666667,4346.057143,26.38690476,23.75714286,30.45714286,Lulo,CaCr7,Alligatoridae,Macho,132.5,3612
1,9/1/2021 0:01,79.1,96.66666667,4346.057143,26.38690476,23.75714286,30.45714286,Helena,CaCr18,Alligatoridae,Hembra,32.8,3612
